Title,Year,Director,Country,ASL
Love Streams ,1983,"Cassavetes, John ",USA ,13
Choose Me ,1984,"Rudolph, Alan ",USA ,13
37.2 Le Matin ,1986,"Beineix, Jean-Jacques ",FRA ,13
Anna ,1987,"Bogayevicz, Yurek ",USA ,13
Cyclo ,1995,"Hung, Tran Anh ",FRA ,13
"Sweet Hereafter, The ",1997,"Egoyan, Atom ",CAN ,13
Blind Shaft ,2003,Li Yang ,CHI ,13
Notre Musique ,2004,"Godard, Jean-Luc ",,13.03
Kandahar ,2001,"Makhmalbaf, Mohsen ",,13.06
"Demi-Paradise, The ",1943,"Asquith, Anthony ",BRI ,13.1
Riding High ,1943,"Marshall, George ",USA ,13.1
Anchors Aweigh ,1945,"Sidney, George ",USA ,13.1
"Huggetts Abroad, The ",1949,"Annakin, Ken ",BRI ,13.1
Faces in the Dark ,1960,"Eady, David ",BRI ,13.1
Jungfruk�llan ,1960,"Bergman, Ingmar ",SWE ,13.1
Promises in the Dark ,1979,"Hellman, Jerome ",USA ,13.1
At Five in the Afternoon ,2003,"Makhmalbaf, Samira ",,13.1
Meek's Cutoff ,2010,"Reichardt, Kelly ",USA ,13.11
Apu Sansar ,1959,"Ray, Satyajit ",IND ,13.14
Morning Glory ,1933,"Sherman, Lowell ",USA ,13.15
Kiss Tomorrow Goodbye ,1950,"Douglas, Gordon ",USA ,13.15
Valentin ,2002,"Agresti, Alejandro ",,13.15
Vredens Dag ,1943,"Dreyer, Carl ",DEN ,13.17
Naissance du pieuvre ,2007,"Sciamma, C�line ",FRA ,13.18
2001: A Space Odyssey ,1968,"Kubrick, Stanley ",USA ,13.19
Nightmare Alley ,1947,"Goulding, Edmund ",USA ,13.2
"Date With a Dream, A ",1948,"Leeman, Dicky ",BRI ,13.2
Albela ,1951,"Bhagwan, Master ",IND ,13.2
"Thing From Another World, The ",1951,"Nyby, Christian ",USA ,13.2
"D-Day, the Sixth of June ",1956,"Koster, Henry ",USA ,13.2
Never Love a Stranger ,1958,"Stevens, Robert ",USA ,13.2
Elvis! Elvis! ,1977,"Pollack, Kay ",SWE ,13.2
Nuit et Jour ,1991,"Akerman, Chantal ",,13.2
G�n�alogies d'un crime ,1997,"Ruiz, Raoul ",FRA ,13.2
There Will Be Blood ,2007,"Anderson, Paul Thomas ",USA ,13.2
"Court Martial of Billy Mitchell, The ",1955,"Preminger, Otto ",USA ,13.21
Enchanted April ,1935,"Beaumont, Harry ",USA ,13.22
Cheaper by the Dozen ,1950,"Lang, Walter ",USA ,13.24
Leonera ,2008,"Trapero, Pablo ",,13.25
"Diary of a Chambermaid, The ",1946,"Renoir, Jean ",USA ,13.26
Seven Little Foys ,1955,"Shavelson, Melville ",USA ,13.26
"Mysterious Mr. Wong, The ",1939,"Nigh, William ",USA ,13.29
Chicken Every Sunday ,1948,"Seaton, George ",USA ,13.3
Moonrise ,1948,"Borzage, Frank ",USA ,13.3
Indiscreet ,1958,"Donen, Stanley ",BRI ,13.3
Anatomy of a Murder ,1959,"Preminger, Otto ",USA ,13.3
No Name on the Bullet ,1959,"Arnold, Jack ",USA ,13.3
"Night of the Prowler, The ",1962,"Searle, Francis ",BRI ,13.3
Felicia's Journey ,1999,"Egoyan, Atom ",,13.3
Ressources humaines ,1999,"Cantet, Laurent ",FRA ,13.3
Presque rien ,2000,"Lifshitz, S�bastien ",FRA ,13.3
Lady in the Dark ,1944,"Leisen, Mitchell ",USA ,13.31
Benny's Video ,1992,"Haneke, Michael ",,13.32
des Dieux et des hommes ,2010,"Beauvois, Xavier ",FRA ,13.33
"Affair to Remember, An ",1957,"McCarey, Leo ",USA ,13.34
Frantic ,1988,"Polanski, Roman ",USA ,13.36
Dark Waters ,1944,"de Toth, Andre ",USA ,13.37
Postcards From the Edge ,1990,"Nichols, Mike ",USA ,13.37
Sadie McKee ,1934,"Brown, Clarence ",USA ,13.4
Yellow Canary ,1943,"Wilcox, Herbert ",BRI ,13.4
Junior Miss ,1945,"Seaton, George ",USA ,13.4
Up in Central Park ,1948,"Seiter, William A. ",USA ,13.4
No Sad Songs for Me ,1950,"Mat�, Rudolph ",USA ,13.4
Kvinnors Vantan ,1952,"Bergman, Ingmar ",SWE ,13.4
"Human Jungle, The ",1954,"Newman, Joseph M. ",USA ,13.4
Dead Man's Evidence ,1962,"Searle, Francis ",BRI ,13.4
"Edge of the Horizon, The ",1993,"Lopes, Fernando ",POR ,13.4
Dark Summer ,1994,"Teton, Charles ",BRI ,13.4
Blackboards ,2000,"Makhmalbaf, Samira ",IRA ,13.4
Becket ,1964,"Glenville, Peter ",BRI ,13.45
Blue Valentine ,2010,"Cianfrance, Derek ",USA ,13.45
Jassy ,1947,"Knowles, Bernard ",BRI ,13.49
"Spoilers, The ",1914,"Campbell, Colin ",USA ,13.5
Barberousse ,1916,"Gance, Abel ",FRA ,13.5
It Pays to Advertise ,1931,"Tuttle, Frank ",USA ,13.5
After Tomorrow ,1932,"Borzage, Frank ",USA ,13.5
Ich bei Tag und Du bei Nacht ,1932,"Berger, Ludwig ",GER ,13.5
"Kid From Spain, The ",1932,"McCarey, Leo ",USA ,13.5
Sailor be Good ,1933,"Cruze, James ",USA ,13.5
"Merry Widow, The ",1934,"Lubitsch, Ernst ",USA ,13.5
Wasser f�r Canitoga ,1939,"Selpin, Herbert ",GER ,13.5
Douce ,1943,"Autant-Lara, Claude ",FRA ,13.5
My Foolish Heart ,1949,"Robson, Mark ",USA ,13.5
As Young As You Feel ,1951,"Jones, Harmon ",USA ,13.5
"Streetcar Named Desire, A ",1951,"Kazan, Elia ",USA ,13.5
Lili ,1953,"Walters, Charles ",USA ,13.5
Final Appointment ,1954,"Fisher, Terence ",BRI ,13.5
Look Back in Anger ,1959,"Richardson, Tony ",BRI ,13.5
Schachnovelle ,1961,"Oswald, Gerd ",GER ,13.5
"Serpent's Egg, The ",1977,"Bergman, Ingmar ",,13.5
Bloody Kids ,1979,"Frears, Stephen ",BRI ,13.5
"Sol del Membrillo, el ",1991,"Erice, Victor ",SPA ,13.5
"Dance Party, USA ",2006,"Katz, Aaron ",USA ,13.5
Summer ,2008,"Glenaan, Kenny ",BRI ,13.51
5 x 2 ,2004,"Ozon, Francois ",FRA ,13.53
Wells Fargo ,1937,"Lloyd, Frank ",USA ,13.6
Pin Up Girl ,1944,"Humberstone, H. Bruce ",USA ,13.6
29 Acacia Avenue ,1945,"Cass, Henry ",BRI ,13.6
"Lovable Cheat, The ",1949,"Oswald, Richard ",USA ,13.6
King of the Khyber Rifles ,1953,"King, Henry ",USA ,13.6
Water Drops on Burning Rocks ,1999,"Ozon, Francois ",FRA ,13.6
"Me, You, Them ",2000,"Waddington, Andrucha ",BRA ,13.6
C�line et Julie vont en bateau ,1974,"Rivette, Jacques ",FRA ,13.66
Charulata ,1964,"Ray, Satyajit ",IND ,13.68
"Night of the Generals, The ",1966,"Litvak, Anatole ",,13.68
Stage Struck ,1958,"Lumet, Sidney ",USA ,13.69
Bells of St. Mary's The ,1945,"McCarey, Leo ",USA ,13.7
Mr. Muggs Rides Again ,1945,"Fox, Wallace ",USA ,13.7
Emergency Call ,1952,"Gilbert, Lewis ",BRI ,13.7
Oh...Rosalinda!! ,1955,"Powell, M. & Pressburger, ",BRI ,13.7
"Man in the Road, The ",1957,"Comfort, Lance ",BRI ,13.7
Terror in a Texas Town ,1958,"Lewis, Joseph H. ",USA ,13.7
Mix Me a Person ,1962,"Norman, Leslie ",BRI ,13.7
All the Way Home ,1963,"Segal, Alex ",USA ,13.7
Dear Heart ,1964,"Mann, Delbert ",USA ,13.7
"Femme d'? c?t�, la ",1981,"Truffaut, Francois ",FRA ,13.7
Raffl ,1985,"Berger, Christian ",OST ,13.7
Hidden City ,1987,"Poliakoff, Stephen ",BRI ,13.7
Bagh Badhur ,1989,"Dasgupta, Bhuddadev ",IND ,13.7
J'embrasse pas ,1991,"T�chin�, Andr� ",FRA ,13.7
Thirty Two Short Films about Glenn Gould ,1993,"Girard, Francois ",CAN ,13.7
Barry Lyndon ,1975,"Kubrick, Stanley ",BRI ,13.74
I'll Sleep When I'm Dead ,2003,"Hodges, Mike ",BRI ,13.74
Letter From An Unknown Woman ,1948,"Ophuls, Max ",USA ,13.77
Billy Rose's Diamond Horseshoe ,1945,"Seaton, George ",USA ,13.8
Holiday Affair ,1949,"Hartman, Don ",USA ,13.8
Killer Shark ,1950,"Boetticher, Oscar ",USA ,13.8
"Man From Planet X, The ",1951,"Ulmer, Edgar ",USA ,13.8
Black Jack ,1952,"Duvivier, Julien ",,13.8
Emergency ,1962,"Searle, Francis ",BRI ,13.8
"Third Secret, The ",1964,"Crichton, Charles ",BRI ,13.8
84 Charing Cross Road ,1986,"Jones, David ",BRI ,13.8
Beau travail ,1999,"Denis, Claire ",FRA ,13.8
Monkey Business ,1952,"Hawks, Howard ",USA ,13.85
Over She Goes ,1937,"Cutts, Graham ",BRI ,13.9
Home Sweet Home ,1945,"Blakely, John E. ",BRI ,13.9
"Bad Lord Byron, The ",1948,"MacDonald, David ",BRI ,13.9
"Girls, les ",1957,"Cukor, George ",USA ,13.9
"Meisje met de rode Haar, Het ",1981,"Verbong, Ben ",HOL ,13.9
Minbo no Onna ,1990,"Itami, Juzo ",JAP ,13.9
Abschied aus Buckow ,2000,"Sch�tte, Jan ",GER ,13.9
Take Care of My Cat ,2002,Jeong Jae-Eun ,KOR ,13.9
High Society ,1956,"Walters, Charles ",USA ,13.92
"Ghosts of Berkeley Square, The ",1947,"Sewell, Vernon ",BRI ,13.96
Havsgamar ,1915,"Sj�str�m, Victor ",SWE ,14
Minnenans Band ,1916,"Klercker, Georg af ",SWE ,14
Vem sk�t? ,1917,"Tallroth, Konrad ",SWE ,14
Nobelspristagaren ,1918,"Klercker, Georg af ",SWE ,14
Her Man ,1930,"Garnett, Tay ",USA ,14
Bad Sister ,1931,"Henley, Hobart ",USA ,14
Murder ,1931,"Hitchcock, Alfred ",BRI ,14
Platinum Blonde ,1931,"Capra, Frank ",USA ,14
Sin Takes a Holiday ,1931,"Stein, Paul ",USA ,14
Bed of Roses ,1933,"La Cava, Gregory ",USA ,14
Only Yesterday ,1933,"Stahl, John ",USA ,14
Partie de campagne ,1936,"Renoir, Jean ",FRA ,14
"Blossoms Have Fallen, The ",1938,Ishida ,JAP ,14
Holiday ,1938,"Cukor, George ",USA ,14
Fasching ,1939,"Schweikart, Hans ",GER ,14
When Tomorrow Comes ,1939,"Stahl, John ",USA ,14
Unfinished Busines ,1942,"La Cava, Gregory ",USA ,14
Bon Voyage ,1944,"Hitchcock, Alfred ",BRI ,14
English without Tears ,1944,"French, Harold ",BRI ,14
Glamour Girl ,1948,Dreifuss ,USA ,14
Carrie ,1952,"Wyler, William ",USA ,14
Gorilla At Large ,1954,"Jones, H. ",USA ,14
Et Dieu crea la Femme ,1956,"Vadim, Roger ",FRA ,14
It Happened in Rome ,1956,"Pietrangeli, Antonio ",ITA ,14
Nihonbashi ,1956,"Ichikawa, Kon ",JAP ,14
Stribrny vitr ,1956,"Krska, Vaclav ",CZE ,14
Death in Small Doses ,1957,"Newman, Joseph ",USA ,14
Fuzen no tomoshibi ,1957,"Kinoshita, Keisuke ",JAP ,14
Al Capone ,1958,"Wilson, Robert ",USA ,14
"Quatre Cent Coups, Les ",1959,"Truffaut, Francois ",FRA ,14
"One, Two, Three ",1960,"Wilder, Billy ",USA ,14
"Vita Difficile, Una ",1961,"Risi, Dino ",ITA ,14
David and Lisa ,1962,"Perry, Frank ",USA ,14
Under the Yum Yum Tree ,1963,"Swift, David ",USA ,14
"Caduta degli Dei, La ",1969,"Visconti, Luchino ",ITA ,14
Ultimo tango in Parigi(Last Tango in Paris ,1972,"Bertolucci, Bernardo ",,14
Pr�parez vos mouchoirs ,1977,"Blier, Bertrand ",FRA ,14
Pretty Baby ,1977,"Malle, Louis ",USA ,14
Atlantic City U.S.A. ,1980,"Malle, Louis ",USA ,14
Naplo Gyermekeimnek ,1982,"Meszaros, Marta ",HUN ,14
Idi i smotri ,1985,"Klimov, Elem ",RUS ,14
"Chocolate War, The ",1988,"Gordon, Keith ",USA ,14
Dreams ,1990,"Kurosawa, Akira ",JAP ,14
Lumi?re noire ,1994,"Hondo, Med ",FRA ,14
Roberto Succo ,2000,"Kahn, C�dric ",FRA ,14
Brief Encounter ,1945,"Lean, David ",BRI ,14.01
Claudia and David ,1946,"Lang, Walter ",USA ,14.1
Margie ,1946,"King, Henry ",USA ,14.1
No Way Out ,1950,"Mankiewicz, Joseph L. ",USA ,14.1
My Man Godfrey ,1957,"Koster, Henry ",USA ,14.1
"Bible...in the Beginning, The ",1966,"Huston, John ",,14.1
"Monk, The ",1972,"Kyrou, Ado ",,14.1
"Asthenic Syndrome, The ",1989,"Muratova, Kira ",RUS ,14.1
Somewhere ,2010,"Coppola, Sofia ",,14.1
"Woman in Question, The ",1950,"Asquith, Anthony ",BRI ,14.14
"Silver Fleet, The ",1943,"Sewell, V. & Wellesley, G ",BRI ,14.15
Clerks ,1994,"Smith, Kevin ",USA ,14.15
Children of Men ,2006,"Cuaron, Alfonso ",USA ,14.15
"Second Woman, The ",1951,"Kerr, James V. ",USA ,14.16
Pimpernel Smith ,1941,"Howard, Leslie ",BRI ,14.18
"East Side, West Side ",1949,"LeRoy, Mervyn ",USA ,14.2
Trottie True ,1949,"Hurst, Brian Desmond ",BRI ,14.2
Home at Seven ,1952,"Richardson, Ralph ",BRI ,14.2
"I Don't Care Girl, The ",1952,"Bacon, Lloyd ",USA ,14.2
"Broken Horseshoe, The ",1953,"Webster, Martin C. ",BRI ,14.2
White Christmas ,1954,"Curtiz, Michael ",USA ,14.2
Anastasia ,1956,"Litvak, Anatol ",USA ,14.2
Invitation to the Dance ,1956,"Kelly, Gene ",USA ,14.2
Domicile Conjugale ,1970,"Truffaut, Francois ",FRA ,14.2
Lonely Woman Seeks Lifetime Companion ,1987,"Krishtofovich, Vyacheslav ",RUS ,14.2
Aparelho voador a baixa altitude ,2002,"Nordlund, Solveig ",POR ,14.2
Jalsaghar ,1958,"Ray, Satyajit ",IND ,14.23
Since Otar Left ,2003,"Bertucelli, Julie ",,14.26
Buffalo '66 ,1998,"Gallo, Vincente ",USA ,14.27
When My Baby Smiles at Me ,1948,"Lang, Walter ",USA ,14.3
Third Time Lucky ,1949,"Parry, Gordon ",BRI ,14.3
Carry on Admiral ,1957,"Guest, Val ",BRI ,14.3
"Gazebo, The ",1959,"Marshall, George ",USA ,14.3
"I, the Worst of All ",1990,"Bemberg, Maria Luisa ",ARG ,14.3
"Baby of M?con, The ",1993,"Greenaway, Peter ",,14.3
Safe ,1995,"Haynes, Todd ",USA ,14.3
Dance of the Wind ,1997,"Khosa, Rajan ",,14.3
Cottage to Let ,1941,"Asquith, Anthony ",BRI ,14.31
Song Without End ,1960,"Vidor, C. & Cukor, G. ",USA ,14.4
Remember My Name ,1978,"Rudolph, Alan ",USA ,14.4
Y aura t'il de la neige ? No?l? ,1996,"Veysset, Sandrine ",FRA ,14.4
"King and I, The ",1956,"Lang, Walter ",USA ,14.42
Madame Pimpernel ,1945,"Ratoff, Gregory ",USA ,14.49
"Liebe der Maria Bonde, die ",1918,,GER ,14.5
"House of Rothschild, The ",1934,"Werker, Alfred ",USA ,14.5
Liliom ,1934,"Lang, Fritz ",FRA ,14.5
Double Indemnity ,1944,"Wilder, Billy ",USA ,14.5
Crisis ,1950,"Brooks, Richard ",USA ,14.5
On The Town ,1950,"Donen, S. & Kelly, G ",USA ,14.5
Yushima no shiraume -- Onna Keizu ,1955,"Kinugasa, Teinosuke ",JAP ,14.5
Ten North Frederick ,1958,"Dunne, Philip ",USA ,14.5
Dangerous Afternoon ,1961,"Saunders, Charles ",BRI ,14.5
Viridiana ,1961,"Bu?uel, Luis ",SPA ,14.5
"Odd Couple, The ",1967,"Saks, Gene ",USA ,14.5
"Passion, en ",1969,"Bergman, Ingmar ",SWE ,14.5
Angst essen Seele auf ,1973,"Fassbinder, R.W. ",GER ,14.5
"Giornata particolare, una ",1977,"Scola, Ettore ",ITA ,14.5
"Uns et les autres, les ",1982,"Lelouch, Claude ",FRA ,14.5
Udju azul di Yonta ,1991,"Gomes, Flora ",,14.5
"Cuckoo, The ",2002,"Rogozhkin, Alexander ",,14.5
"Boucher, le ",1969,"Chabrol, Claude ",,14.51
"Bishop's Wife, The ",1947,"Koster, Henry ",USA ,14.53
Annie Hall ,1977,"Allen, Woody ",USA ,14.56
That's Life ,1986,"Edwards, Blake ",USA ,14.56
Funny Face ,1957,"Donen, Stanley ",USA ,14.57
Caravan ,1946,"Crabtree, Arthur ",BRI ,14.6
Meet Me in Las Vegas ,1956,"Rowland, Roy ",USA ,14.6
Mere Mehboob ,1963,"Rawall, H.S. ",IND ,14.6
Notre histoire ,1984,"Blier, Bertrand ",FRA ,14.6
Boiling Point ,1990,"Kitano, Takeshi ",JAP ,14.6
"Anglaise et le duc, l' ",2001,"Rohmer, Eric ",,14.6
Rosemary's Baby ,1968,"Polanski, Roman ",USA ,14.66
Interrupted Melody ,1955,"Bernhardt, Curtis ",USA ,14.7
Rocco e suoi fratelli ,1960,"Visconti, Luchino ",ITA ,14.7
"Ear, The ",1969,"Kachyna, Karel ",CZE ,14.7
Gabriela ,1984,"Barreto, Bruno ",,14.7
"Conte de Hiver, un ",1992,"Rohmer, Eric ",FRA ,14.7
Mammo ,1994,"Benegal, Shyam ",IND ,14.7
Once We Were Strangers ,1997,"Crialese, Emanuele ",,14.7
Scoop ,2006,"Allen, Woody ",BRI ,14.72
"King of Marvin Gardens, The ",1972,"Rafelson, Bob ",USA ,14.73
Gianni e le donne ,2011,"Di Gregorio, Gianni ",ITA ,14.75
Melinda and Melinda ,2004,"Allen, Woody ",USA ,14.79
"Perfect Woman, The ",1949,"Knowles, Bernard ",BRI ,14.8
Circle of Danger ,1950,"Tourneur, Jacques ",USA ,14.8
"Front Page, The ",1974,"Wilder, Billy ",USA ,14.8
Dong-Chun De Rizi ,1993,Wang Xiaoshuai ,CHI ,14.8
Of Freaks and Men ,1998,"Balabanov, Alexei ",RUS ,14.8
"Emploi du temps, L' ",2001,"Cantet, Laurent ",FRA ,14.8
"Belle et la B?te, la ",1946,"Cocteau, Jean ",FRA ,14.82
"Beware, My Lovely ",1952,"Horner, Harry ",USA ,14.89
Casbah ,1948,"Berry, John ",USA ,14.9
Our Very Own ,1950,"Miller, David ",USA ,14.9
Singin' in the Rain ,1952,"Kelly, G. & Donen, S. ",USA ,14.9
Inherit the Wind ,1960,"Kramer, Stanley ",USA ,14.9
How the West Was Won (Civil War) ,1962,"Ford, John ",USA ,14.9
Mera Saaya ,1966,"Khosla, Raj ",IND ,14.9
Pigalle ,1994,"Dridi, Karim ",FRA ,14.9
Full Frontal ,2002,"Soderbergh, Steven ",USA ,14.91
Beijing Bastards ,1993,Zhang Yuan ,CHI ,14.92
Qissa ,2013,"Singh, Anup ",,14.98
"Golden Chance, The ",1915,"DeMille, Cecil B. ",USA ,15
Young Romance ,1915,"Melford, George ",USA ,15
Forstadspr�sten ,1917,"Klercker, Georg af ",SWE ,15
Gentlemen of the Press ,1929,"Webb, Millard ",USA ,15
Shinel ,1929,"Kozintsev, Y & Trauberg,L ",RUS ,15
Daybreak ,1931,"Feyder, Jacques ",USA ,15
Boudu sauv� des eaux ,1932,"Renoir, Jean ",FRA ,15
Jugend ,1938,"Harlan, Veit ",GER ,15
Black Eyes ,1939,"Brenon, Herbert ",BRI ,15
"Philadelphia Story, The ",1940,"Cukor, George ",USA ,15
Adam's Rib ,1949,"Cukor, George ",USA ,15
Madame Bovary ,1949,"Minnelli, Vincente ",USA ,15
Detective Story ,1951,"Wyler, William ",USA ,15
Pat and Mike ,1952,"Cukor, George ",USA ,15
"Girl Next Door, The ",1953,"Sale, Richard ",USA ,15
"Long, Long Trailer, The ",1954,"Minnelli, Vincente ",USA ,15
White Christmas ,1954,"Curtiz, Michael ",USA ,15
Around the World in Eighty Days ,1956,"Anderson, Michael ",USA ,15
"Revolt of Mamie Stover, The ",1956,"Walsh, Raoul ",USA ,15
A bout de souffle ,1959,"Godard, Jean-Luc ",FRA ,15
Miyamoto Mushashi ,1961,"Uchida, Tomu ",JAP ,15
"Portiere di Notte, Il ",1973,"Cavani, Liliana ",ITA ,15
And Then There Were None ,1974,"Collinson, Peter ",BRI ,15
New York Stories: Oedipus Wrecks ,1989,"Allen, Woody ",USA ,15
"Story of Qiu Ju, The ",1992,"Yimou, Zhang ",CHI ,15
"Man Who Never Was, The ",1955,"Neame, Ronald ",USA ,15.01
"Acacias, las ",2011,"Giorgelli, Pablo ",,15.02
Killer of Sheep ,1977,"Burnett, Charles ",USA ,15.04
"Eve of St. Mark, The ",1944,"Stahl, John ",USA ,15.08
I Want You ,1951,"Robson, Mark ",USA ,15.1
"Rainmaker, The ",1956,"Anthony, Joseph ",USA ,15.1
Repentance ,1984,"Abuladze, Tengiz ",RUS ,15.1
"Bonaerense, el ",2002,"Trapero, Pablo ",ARG ,15.1
Norwegian Wood ,2010,"Hung, Tran Anh ",JAP ,15.12
Match Point ,2005,"Allen, Woody ",,15.13
David Golder ,1931,"Duvivier, Julien ",FRA ,15.2
"Best Things in Life are Free, The ",1956,"Curtiz, Michael ",USA ,15.2
Vanya on 42nd Street ,1994,"Malle, Louis ",USA ,15.2
Final Cut ,1998,"Anciano, D. & Burdis, R. ",BRI ,15.2
"Afrance, L' ",2001,"Gomis, Alain ",,15.2
Quicksand ,1950,"Pichel, Irving ",USA ,15.25
"Double Life, A ",1947,"Cukor, George ",USA ,15.26
Sabrina ,1954,"Wilder, Billy ",USA ,15.28
Under the Greenwood Tree ,1929,"Lachman, Harry ",BRI ,15.3
Random Harvest ,1942,"LeRoy, Mervyn ",USA ,15.3
"Blue Parrot, The ",1953,"Harlow, John ",BRI ,15.3
Happy Ever After ,1954,"Zampi, Mario ",BRI ,15.3
Damn Yankees ,1958,"Abbott, G. & Donen, S. ",USA ,15.3
Teesri Kasam ,1966,"Battacharaya, Basu ",IND ,15.3
Fanny och Alexander ,1982,"Bergman, Ingmar ",SWE ,15.3
"Sole anche di notte, il ",1990,"Taviani, Paolo & Vittorio ",ITA ,15.3
Miss Amerigua ,1994,"Viera, Luis R. ",,15.3
Conte d'automne ,1998,"Rohmer, Eric ",FRA ,15.3
Invincible ,2001,"Herzog, Werner ",,15.3
"Big Combo, The ",1955,"Lewis, Joseph H. ",USA ,15.33
"Story of the Weeping Camel, The ",2003,Davaa & Falorni ,,15.35
Gozu ,2003,Takashi Miiki ,JAP ,15.38
Babes in Arms ,1939,"Berkeley, Busby ",USA ,15.4
Enchantment ,1948,"Reis, Irving ",USA ,15.4
Last Holiday ,1950,"Cass, Henry ",BRI ,15.4
Figures in a Landscape ,1970,"Losey, Joseph ",BRI ,15.4
Sunset Boulevard ,1950,"Wilder, Billy ",USA ,15.49
"Reckless Moment, The ",1949,"Ophuls, Max ",USA ,15.5
Where the Sidewalk Ends ,1950,"Preminger, Otto ",USA ,15.5
It's Always Fair Weather ,1955,"Keely, Gene & Donen, S. ",USA ,15.5
Afrodite ,1957,"Bonnard, Mario ",ITA ,15.5
Secret Ceremony ,1968,"Losey, Joseph ",BRI ,15.5
"Honeymoon Killers, The ",1969,"Kastle, Leonard ",USA ,15.5
"Adventure for Two, An ",1979,"Lelouch, Claude ",FRA ,15.5
Brewster's Millions ,1945,"Dwan, Allan ",USA ,15.6
Mahal ,1949,"Arohi, Kamal ",IND ,15.6
Sommarlek ,1950,"Bergman, Ingmar ",SWE ,15.6
"Long Gray Line, The ",1955,"Ford, John ",USA ,15.6
"Kiss Before Dying, A ",1956,"Oswald, Gerd ",USA ,15.6
Ascenseur pour l'echafaud ,1957,"Malle, Louis ",FRA ,15.6
You Pay Your Money ,1957,"Rogers, Maclean ",BRI ,15.6
"Fortune Cookie, The ",1966,"Wilder, Billy ",USA ,15.6
Wanda ,1971,"Loden, Barbara ",USA ,15.6
"Silences of the Palace, The ",1994,"Tlatli, Moufida ",TUN ,15.6
As tres Marias ,2002,"Abranches, Aluizo ",,15.6
"Village, The ",2004,"Shyamalan, M. Night ",USA ,15.61
Chinatown ,1974,"Polanski, Roman ",USA ,15.67
Funny Ha Ha ,2002,"Bujalski, Robert ",USA ,15.68
That Certain Woman ,1937,"Goulding, Edmund ",USA ,15.7
Do bigha zameen ,1953,"Roy, Bimal ",IND ,15.7
House of Blackmail ,1953,"Elvey, Maurice ",BRI ,15.7
Queen Bee ,1955,"MacDougall, Ranald ",USA ,15.7
"Living End, The ",1992,"Araki, Greg ",USA ,15.7
Eyes Wide Shut ,1999,"Kubrick, Stanley ",,15.7
Kamel Gandhar ,1961,"Ghatak, Ritwik ",IND ,15.73
Sommarnattens Leende ,1955,"Bergman, Ingmar ",SWE ,15.79
Babes on Broadway ,1941,"Berkeley, Busby ",USA ,15.8
"Killers, The ",1946,"Siodmak, Robert ",USA ,15.8
My Dear Secretary ,1948,"Martin, Charles ",USA ,15.8
I Was a Male War Bride ,1949,"Hawks, Howard ",USA ,15.8
Laughter in Paradise ,1951,"Zampi, Mario ",BRI ,15.8
"Man in the Gray Flannel Suit, The ",1956,"Johnson, Nunnaly ",USA ,15.8
Mark of the Phoenix ,1957,"Rogers, Maclean ",BRI ,15.8
Silkwood ,1983,"Nichols, Mike ",USA ,15.8
Katia Ismailova ,1994,"Todorovsky, Valerii ",,15.8
"Blair Witch Project, The ",1999,"Myrick, D. & Sanchez, E. ",USA ,15.8
"Chignon d'Olga, le ",2002,"Bonnell, J�r?me ",FRA ,15.8
"Generation, A ",1954,"Wajda, Andrzej ",POL ,15.83
Scherben ,1921,"Pick, Lupu ",GER ,15.85
"Five Pennies, The ",1959,"Shavelson, Melville ",USA ,15.87
Shanghai Dreams ,2005,Wang Xiaoshouai ,CHI ,15.88
Dancing in the Dark ,1949,"Reis, Irving ",USA ,15.9
Strongroom ,1961,"Sewell, Vernon ",BRI ,15.9
Toute une vie ,1974,"Lelouch, Claude ",,15.9
Rockers ,1979,"Bafaloukos, Theodoros ",USA ,15.9
"Moon is Blue, The ",1953,"Preminger, Otto ",USA ,15.91
Tabu ,2012,"Gomes, Miguel ",,15.93
Duck Season ,2004,"Eimbcke, Fernando ",MEX ,15.94
Kes ,1970,"Loach, Ken ",BRI ,15.98
"Schwarze Kugel, die ",1913,"Hofer, Franz ",GER ,16
"Fremmende, Den ",1914,"Gluckstadt, Vilhelm ",DEN ,16
Madame Butterfly ,1915,"Olcott, Sidney ",USA ,16
Dreyfus ,1931,"Rosmer, M. & Kraemer, F.W ",BRI ,16
Riptide ,1934,"Goulding, Edmund ",USA ,16
"Herrscher, Der ",1937,"Harlan, Veit ",GER ,16
"Best Years of Our Lives, The ",1946,"Wyler, William ",USA ,16
Texas Carnival ,1951,"Walters, Charles ",USA ,16
Madame de... ,1953,"Ophuls, Max ",FRA ,16
"Rose Tattoo, The ",1955,"Mann, Daniel ",USA ,16
Vargtimmen ,1967,"Bergman, Ingmar ",SWE ,16
Still Life ,1974,"Saless, Sohrab Shahid ",IRA ,16
Without You I'm Nothing ,1990,"Boskovich, John ",USA ,16
Dromspel ,1993,"Straume, Unni ",NOR ,16
Salut Cousin! ,1996,"Allouache, Merzak ",,16
"Foreign Affair, A ",1948,"Wilder, Billy ",USA ,16.05
"Distant Voices, Still Lives ",1988,"Davies, Terence ",BRI ,16.07
Two Tickets to Broadway ,1951,"Kern, James V. ",USA ,16.1
Ikiru ,1952,Kurosawa Akira ,JAP ,16.1
Maigret tend un pi?ge ,1957,"Delannoy, Jean ",FRA ,16.1
"Apartment, The ",1960,"Wilder, Billy ",USA ,16.1
Sweet and Lowdown ,1999,"Allen, Woody ",USA ,16.1
"Pool, The ",2007,"Smith, Chris ",USA ,16.13
